Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Region,Payment Method,Customer ID,Age
10001,1/1/2024,Electronics,iPhone 14 Pro,2,$999.99 ,North America,Credit Card,C241288,28
10002,1/2/2024,Home Appliances,Dyson V11 Vacuum,1,$499.99 ,Europe,PayPal,C111565,21
10003,1/3/2024,Clothing,Levi's 501 Jeans,3,$69.99 ,Asia,Debit Card,C266599,20
10004,1/4/2024,Books,The Da Vinci Code,4,$15.99 ,North America,Credit Card,C988172,66
10005,1/5/2024,Beauty Products,Neutrogena Skincare Set,1,$89.99 ,Europe,PayPal,C189076,53
10006,1/6/2024,Sports,Wilson Evolution Basketball,5,$29.99 ,Asia,Credit Card,C657758,28
10007,1/7/2024,Electronics,MacBook Pro 16-inch,1,"$2,499.99 ",North America,Credit Card,C151197,49
10008,1/8/2024,Home Appliances,Blueair Classic 480i,2,$599.99 ,Europe,PayPal,C176086,32
10009,1/9/2024,Clothing,Nike Air Force 1,6,$89.99 ,Asia,Debit Card,C159642,69
10010,1/10/2024,Books,Dune by Frank Herbert,2,$25.99 ,North America,Credit Card,C283361,60
10011,1/11/2024,Beauty Products,Chanel No. 5 Perfume,1,$129.99 ,Europe,PayPal,C240286,36
10012,1/12/2024,Sports,Babolat Pure Drive Tennis Racket,3,$199.99 ,Asia,Credit Card,C191708,29
10013,1/13/2024,Electronics,Samsung Galaxy Tab S8,2,$749.99 ,North America,Credit Card,C225330,67
10014,1/14/2024,Home Appliances,Keurig K-Elite Coffee Maker,1,$189.99 ,Europe,PayPal,C312861,25
10015,1/15/2024,Clothing,North Face Down Jacket,2,$249.99 ,Asia,Debit Card,C555402,67
10016,1/16/2024,Books,"Salt, Fat, Acid, Heat by Samin Nosrat",3,$35.99 ,North America,Credit Card,C362288,24
10017,1/17/2024,Beauty Products,Dyson Supersonic Hair Dryer,1,$399.99 ,Europe,PayPal,C300786,65
10018,1/18/2024,Sports,Manduka PRO Yoga Mat,4,$119.99 ,Asia,Credit Card,C330667,42
10019,1/19/2024,Electronics,Garmin Forerunner 945,2,$499.99 ,North America,Credit Card,C218149,46
10020,1/20/2024,Home Appliances,Ninja Professional Blender,1,$99.99 ,Europe,PayPal,C196845,24
10021,1/21/2024,Clothing,Zara Summer Dress,3,$59.99 ,Asia,Debit Card,C220180,23
10022,1/22/2024,Books,Gone Girl by Gillian Flynn,2,$22.99 ,North America,Credit Card,C125696,27
10023,1/23/2024,Beauty Products,Olay Regenerist Face Cream,1,$49.99 ,Europe,PayPal,C322947,52
10024,1/24/2024,Sports,Adidas FIFA World Cup Football,3,$29.99 ,Asia,Credit Card,C313348,44
10025,1/25/2024,Electronics,Bose QuietComfort 35 Headphones,1,$299.99 ,North America,Credit Card,C204553,42
10026,1/26/2024,Home Appliances,Panasonic NN-SN966S Microwave,1,$179.99 ,Europe,PayPal,C285161,51
10027,1/27/2024,Clothing,Adidas Ultraboost Shoes,2,$179.99 ,Asia,Debit Card,C289625,25
10028,1/28/2024,Books,Pride and Prejudice by Jane Austen,3,$12.99 ,North America,Credit Card,C192344,50
10029,1/29/2024,Beauty Products,MAC Ruby Woo Lipstick,1,$29.99 ,Europe,PayPal,C447138,65
10030,1/30/2024,Sports,Nike Air Zoom Pegasus 37,2,$129.99 ,Asia,Credit Card,C251229,29
10031,1/31/2024,Electronics,Sony WH-1000XM4 Headphones,2,$349.99 ,North America,Credit Card,C159164,66
10032,2/1/2024,Home Appliances,Instant Pot Duo,3,$89.99 ,Europe,PayPal,C501658,23
10033,2/2/2024,Clothing,Under Armour HeatGear T-Shirt,5,$29.99 ,Asia,Debit Card,C176727,32
10034,2/3/2024,Books,1984 by George Orwell,4,$19.99 ,North America,Credit Card,C232624,51
10035,2/4/2024,Beauty Products,L'Oreal Revitalift Serum,2,$39.99 ,Europe,PayPal,C164092,66
10036,2/5/2024,Sports,Peloton Bike,1,"$1,895.00 ",Asia,Credit Card,C276887,68
10037,2/6/2024,Electronics,Apple Watch Series 8,3,$399.99 ,North America,Credit Card,C241288,43
10038,2/7/2024,Home Appliances,Roomba i7+,2,$799.99 ,Europe,PayPal,C111565,59
10039,2/8/2024,Clothing,Columbia Fleece Jacket,4,$59.99 ,Asia,Debit Card,C266599,54
10040,2/9/2024,Books,Harry Potter and the Sorcerer's Stone,3,$24.99 ,North America,Credit Card,C988172,24
10041,2/10/2024,Beauty Products,Estee Lauder Advanced Night Repair,1,$105.00 ,Europe,PayPal,C189076,49
10042,2/11/2024,Sports,Fitbit Charge 5,2,$129.99 ,Asia,Credit Card,C657758,67
10043,2/12/2024,Electronics,GoPro HERO10 Black,3,$399.99 ,North America,Credit Card,C151197,48
10044,2/13/2024,Home Appliances,Nespresso VertuoPlus,1,$199.99 ,Europe,PayPal,C176086,40
10045,2/14/2024,Clothing,Patagonia Better Sweater,2,$139.99 ,Asia,Debit Card,C159642,41
10046,2/15/2024,Books,Becoming by Michelle Obama,4,$32.50 ,North America,Credit Card,C283361,46
10047,2/16/2024,Beauty Products,Clinique Moisture Surge,1,$52.00 ,Europe,PayPal,C240286,19
10048,2/17/2024,Sports,Yeti Rambler Tumbler,6,$39.99 ,Asia,Credit Card,C191708,43
10049,2/18/2024,Electronics,Kindle Paperwhite,2,$129.99 ,North America,Credit Card,C225330,18
10050,2/19/2024,Home Appliances,Breville Smart Oven,1,$299.99 ,Europe,PayPal,C312861,22
10051,2/20/2024,Clothing,Ray-Ban Aviator Sunglasses,3,$154.99 ,Asia,Debit Card,C555402,61
10052,2/21/2024,Books,The Silent Patient by Alex Michaelides,2,$26.99 ,North America,Credit Card,C362288,41
10053,2/22/2024,Beauty Products,Shiseido Ultimate Sun Protector,1,$49.00 ,Europe,PayPal,C300786,53
10054,2/23/2024,Sports,Titleist Pro V1 Golf Balls,5,$49.99 ,Asia,Credit Card,C330667,43
10055,2/24/2024,Electronics,Anker PowerCore Portable Charger,4,$59.99 ,North America,Credit Card,C218149,45
10056,2/25/2024,Home Appliances,KitchenAid Artisan Stand Mixer,1,$499.99 ,Europe,PayPal,C841663,29
10057,2/26/2024,Clothing,Calvin Klein Boxer Briefs,5,$29.99 ,Asia,Debit Card,C213742,43
10058,2/27/2024,Books,Educated by Tara Westover,3,$28.00 ,North America,Credit Card,C962515,19
10059,2/28/2024,Beauty Products,Anastasia Beverly Hills Brow Wiz,2,$23.00 ,Europe,PayPal,C112279,67
10060,2/29/2024,Sports,Hyperice Hypervolt Massager,1,$349.00 ,Asia,Credit Card,C158837,36
10061,3/1/2024,Electronics,Nintendo Switch,3,$299.99 ,North America,Credit Card,C336576,64
10062,3/2/2024,Home Appliances,Philips Airfryer XXL,2,$199.99 ,Europe,PayPal,C716161,33
10063,3/3/2024,Clothing,Hanes ComfortSoft T-Shirt,10,$9.99 ,Asia,Debit Card,C439382,33
10064,3/4/2024,Books,Where the Crawdads Sing by Delia Owens,4,$18.99 ,North America,Credit Card,C123427,66
10065,3/5/2024,Beauty Products,Lancome La Vie Est Belle,1,$102.00 ,Europe,PayPal,C224743,29
10066,3/6/2024,Sports,Garmin Edge 530,2,$299.99 ,Asia,Credit Card,C119549,22
10067,3/7/2024,Electronics,Samsung QLED 4K TV,1,"$1,199.99 ",North America,Credit Card,C187266,63
10068,3/8/2024,Home Appliances,Eufy RoboVac 11S,3,$219.99 ,Europe,PayPal,C173084,24
10069,3/9/2024,Clothing,Puma Suede Classic Sneakers,4,$59.99 ,Asia,Debit Card,C126956,24
10070,3/10/2024,Books,The Great Gatsby by F. Scott Fitzgerald,2,$10.99 ,North America,Credit Card,C236859,44
10071,3/11/2024,Beauty Products,Drunk Elephant C-Firma Day Serum,1,$78.00 ,Europe,PayPal,C309926,34
10072,3/12/2024,Sports,Nike Metcon 6,3,$129.99 ,Asia,Credit Card,C493252,47
10073,3/13/2024,Electronics,HP Spectre x360 Laptop,1,"$1,599.99 ",North America,Credit Card,C109871,38
10074,3/14/2024,Home Appliances,De'Longhi Magnifica Espresso Machine,1,$899.99 ,Europe,PayPal,C136117,57
10075,3/15/2024,Clothing,Tommy Hilfiger Polo Shirt,5,$49.99 ,Asia,Debit Card,C258404,67
10076,3/16/2024,Books,To Kill a Mockingbird by Harper Lee,4,$14.99 ,North America,Credit Card,C169749,41
10077,3/17/2024,Beauty Products,Glossier Boy Brow,2,$16.00 ,Europe,PayPal,C199947,40
10078,3/18/2024,Sports,Rogue Fitness Kettlebell,3,$69.99 ,Asia,Credit Card,C135790,69
10079,3/19/2024,Electronics,Apple AirPods Pro,2,$249.99 ,North America,Credit Card,C240286,47
10080,3/20/2024,Home Appliances,Dyson Pure Cool Link,1,$499.99 ,Europe,PayPal,C191708,53
10081,3/21/2024,Clothing,Levi's Trucker Jacket,2,$89.99 ,Asia,Debit Card,C225330,40
10082,3/22/2024,Books,The Hobbit by J.R.R. Tolkien,3,$12.99 ,North America,Credit Card,C312861,60
10083,3/23/2024,Beauty Products,Charlotte Tilbury Magic Cream,1,$100.00 ,Europe,PayPal,C555402,30
10084,3/24/2024,Sports,Spalding NBA Street Basketball,6,$24.99 ,Asia,Credit Card,C362288,66
10085,3/25/2024,Electronics,Ring Video Doorbell,1,$99.99 ,North America,Credit Card,C300786,22
10086,3/26/2024,Home Appliances,LG OLED TV,2,"$1,299.99 ",Europe,PayPal,C330667,53
10087,3/27/2024,Clothing,Uniqlo Ultra Light Down Jacket,3,$79.99 ,Asia,Debit Card,C218149,52
10088,3/28/2024,Books,The Catcher in the Rye by J.D. Salinger,4,$13.99 ,North America,Credit Card,C309438,26
10089,3/29/2024,Beauty Products,Sunday Riley Good Genes,1,$105.00 ,Europe,PayPal,C253905,66
10090,3/30/2024,Sports,On Running Cloud Shoes,2,$129.99 ,Asia,Credit Card,C992677,65
10091,3/31/2024,Electronics,Logitech MX Master 3 Mouse,2,$99.99 ,North America,Credit Card,C240286,43
10092,4/1/2024,Home Appliances,Instant Pot Duo Crisp,1,$179.99 ,Europe,PayPal,C191708,
10093,4/2/2024,Clothing,Adidas Originals Superstar Sneakers,4,$79.99 ,Asia,Debit Card,C225330,
10094,4/3/2024,Books,The Alchemist by Paulo Coelho,3,$14.99 ,North America,Credit Card,C312861,
10095,4/4/2024,Beauty Products,Tatcha The Water Cream,1,$68.00 ,Europe,PayPal,C555402,
10096,4/5/2024,Sports,Garmin Fenix 6X Pro,1,$999.99 ,Asia,Credit Card,C362288,
10097,4/6/2024,Electronics,Bose SoundLink Revolve+ Speaker,3,$299.99 ,North America,Credit Card,C300786,62
10098,4/7/2024,Home Appliances,Vitamix Explorian Blender,1,$349.99 ,Europe,PayPal,C330667,39
10099,4/8/2024,Clothing,Gap Essential Crewneck T-Shirt,6,$19.99 ,Asia,Debit Card,C218149,33
10100,4/9/2024,Books,The Power of Now by Eckhart Tolle,2,$12.99 ,North America,Credit Card,C181972,26
10101,4/10/2024,Beauty Products,Kiehl's Midnight Recovery Concentrate,1,$82.00 ,Europe,PayPal,C189493,43
10102,4/11/2024,Sports,Under Armour HOVR Sonic 4 Shoes,2,$109.99 ,Asia,Credit Card,C242748,40
10103,4/12/2024,Electronics,Canon EOS R5 Camera,1,"$3,899.99 ",North America,Credit Card,C324683,55
10104,4/13/2024,Home Appliances,Shark IQ Robot Vacuum,2,$349.99 ,Europe,PayPal,C307921,24
10105,4/14/2024,Clothing,H&M Slim Fit Jeans,3,$39.99 ,Asia,Debit Card,C152549,24
10106,4/15/2024,Books,The Girl on the Train by Paula Hawkins,4,$10.99 ,North America,Credit Card,C111832,30
10107,4/16/2024,Beauty Products,The Ordinary Niacinamide Serum,1,$6.50 ,Europe,PayPal,C204174,34
10108,4/17/2024,Sports,Bowflex SelectTech 552 Dumbbells,1,$399.99 ,Asia,Credit Card,C279370,64
10109,4/18/2024,Electronics,Google Nest Hub Max,2,$229.99 ,North America,Credit Card,C362288,57
10110,4/19/2024,Home Appliances,Cuisinart Griddler Deluxe,1,$159.99 ,Europe,PayPal,C300786,18
10111,4/20/2024,Clothing,Old Navy Relaxed-Fit T-Shirt,4,$14.99 ,Asia,Debit Card,C330667,26
10112,4/21/2024,Books,Sapiens: A Brief History of Humankind by Yuval Noah Harari,2,$18.99 ,North America,Credit Card,C218149,19
10113,4/22/2024,Beauty Products,Biore UV Aqua Rich Watery Essence Sunscreen,1,$15.00 ,Europe,PayPal,C181972,22
10114,4/23/2024,Sports,Fitbit Versa 3,3,$229.95 ,Asia,Credit Card,C331761,48
10115,4/24/2024,Electronics,Amazon Echo Show 10,1,$249.99 ,North America,Credit Card,C326893,56
10116,4/25/2024,Home Appliances,Breville Smart Grill,2,$299.95 ,Europe,PayPal,C306395,35
10117,4/26/2024,Clothing,Gap High Rise Skinny Jeans,3,$49.99 ,Asia,Debit Card,C885344,60
10118,4/27/2024,Books,Atomic Habits by James Clear,4,$16.99 ,North America,Credit Card,C112750,32
10119,4/28/2024,Beauty Products,CeraVe Hydrating Facial Cleanser,2,$14.99 ,Europe,PayPal,C274870,27
10120,4/29/2024,Sports,YETI Hopper Flip Portable Cooler,1,$249.99 ,Asia,Credit Card,C199864,56
10121,4/30/2024,Electronics,Apple iPad Air,2,$599.99 ,North America,Credit Card,C997380,35
10122,5/1/2024,Home Appliances,Hamilton Beach FlexBrew Coffee Maker,1,$89.99 ,Europe,PayPal,C132002,68
10123,5/2/2024,Clothing,Forever 21 Graphic Tee,5,$12.99 ,Asia,Debit Card,C255058,64
10124,5/3/2024,Books,The Subtle Art of Not Giving a F*ck by Mark Manson,3,$14.99 ,North America,Credit Card,C271799,60
10125,5/4/2024,Beauty Products,NARS Radiant Creamy Concealer,1,$30.00 ,Europe,PayPal,C765620,64
10126,5/5/2024,Sports,Yeti Roadie 24 Cooler,1,$199.99 ,Asia,Credit Card,C885344,41
10127,5/6/2024,Electronics,Sony PlayStation 5,1,$499.99 ,North America,Credit Card,C112750,30
10128,5/7/2024,Home Appliances,Dyson Supersonic Hair Dryer,2,$399.99 ,Europe,PayPal,C274870,40
10129,5/8/2024,Clothing,Lululemon Align Leggings,3,$98.00 ,Asia,Debit Card,C199864,29
10130,5/9/2024,Books,The Four Agreements by Don Miguel Ruiz,2,$8.99 ,North America,Credit Card,C997380,25
10131,5/10/2024,Beauty Products,Fenty Beauty Killawatt Highlighter,1,$36.00 ,Europe,PayPal,C132002,60
10132,5/11/2024,Sports,Hydro Flask Wide Mouth Water Bottle,4,$39.95 ,Asia,Credit Card,C846730,42
10133,5/12/2024,Electronics,Microsoft Surface Laptop 4,1,"$1,299.99 ",North America,Credit Card,C249877,54
10134,5/13/2024,Home Appliances,Keurig K-Mini Coffee Maker,2,$79.99 ,Europe,PayPal,C200826,50
10135,5/14/2024,Clothing,Gap Crewneck Sweatshirt,4,$34.99 ,Asia,Debit Card,C263874,54
10136,5/15/2024,Books,Think and Grow Rich by Napoleon Hill,3,$9.99 ,North America,Credit Card,C663463,45
10137,5/16/2024,Beauty Products,The Ordinary Hyaluronic Acid Serum,1,$6.80 ,Europe,PayPal,C134370,40
10138,5/17/2024,Sports,Fitbit Inspire 2,2,$99.95 ,Asia,Credit Card,C310642,24
10139,5/18/2024,Electronics,Samsung Odyssey G9 Gaming Monitor,1,"$1,499.99 ",North America,Credit Card,C885344,40
10140,5/19/2024,Home Appliances,Instant Pot Ultra,1,$139.99 ,Europe,PayPal,C112750,32
10141,5/20/2024,Clothing,Adidas Essential Track Pants,3,$44.99 ,Asia,Debit Card,C274870,28
10142,5/21/2024,Books,The Power of Habit by Charles Duhigg,2,$11.99 ,North America,Credit Card,C199864,22
10143,5/22/2024,Beauty Products,Clinique Dramatically Different Moisturizing Lotion,1,$29.50 ,Europe,PayPal,C997380,21
10144,5/23/2024,Sports,YETI Tundra 45 Cooler,1,$299.99 ,Asia,Credit Card,C132002,31
10145,5/24/2024,Electronics,Apple AirPods Max,1,$549.00 ,North America,Credit Card,C309082,61
10146,5/25/2024,Home Appliances,Cuisinart Coffee Center,2,$199.95 ,Europe,PayPal,C249877,67
10147,5/26/2024,Clothing,Levi's Sherpa Trucker Jacket,2,$98.00 ,Asia,Debit Card,C200826,52
10148,5/27/2024,Books,The Outsiders by S.E. Hinton,3,$10.99 ,North America,Credit Card,C263874,44
10149,5/28/2024,Beauty Products,Laneige Water Sleeping Mask,1,$25.00 ,Europe,PayPal,C663463,48
10150,5/29/2024,Sports,Bose SoundSport Wireless Earbuds,2,$149.99 ,Asia,Credit Card,C340116,53
10151,5/30/2024,Electronics,Sony WH-1000XM4 Headphones,1,$349.99 ,North America,Credit Card,C816586,27
10152,5/31/2024,Home Appliances,Ninja Foodi Pressure Cooker,2,$199.99 ,Europe,PayPal,C434171,28
10153,6/1/2024,Clothing,Nike Sportswear Club Fleece Hoodie,3,$54.99 ,Asia,Debit Card,C215384,43
10154,6/2/2024,Books,The Night Circus by Erin Morgenstern,2,$16.99 ,North America,Credit Card,C249877,54
10155,6/3/2024,Beauty Products,GlamGlow Supermud Clearing Treatment,1,$59.00 ,Europe,PayPal,C200826,41
10156,6/4/2024,Sports,Garmin Forerunner 245,1,$299.99 ,Asia,Credit Card,C263874,59
10157,6/5/2024,Electronics,Google Pixel 6 Pro,1,$899.99 ,North America,Credit Card,C663463,32
10158,6/6/2024,Home Appliances,Breville Nespresso Creatista Plus,1,$499.95 ,Europe,PayPal,C194380,41
10159,6/7/2024,Clothing,Under Armour Tech 2.0 T-Shirt,4,$24.99 ,Asia,Debit Card,C269623,30
10160,6/8/2024,Books,The Art of War by Sun Tzu,3,$7.99 ,North America,Credit Card,C847171,22
10161,6/9/2024,Beauty Products,Youth to the People Superfood Antioxidant Cleanser,1,$36.00 ,Europe,PayPal,C556552,51
10162,6/10/2024,Sports,TriggerPoint GRID Foam Roller,2,$34.99 ,Asia,Credit Card,C876528,23
10163,6/11/2024,Electronics,Apple MacBook Air,1,"$1,199.99 ",North America,Credit Card,C303493,40
10164,6/12/2024,Home Appliances,Cuisinart Custom 14-Cup Food Processor,1,$199.99 ,Europe,PayPal,C978718,37
10165,6/13/2024,Clothing,Adidas 3-Stripes Shorts,5,$29.99 ,Asia,Debit Card,C111766,24
10166,6/14/2024,Books,The Hunger Games by Suzanne Collins,4,$8.99 ,North America,Credit Card,C175946,22
10167,6/15/2024,Beauty Products,Neutrogena Hydro Boost Water Gel,1,$16.99 ,Europe,PayPal,C160005,61
10168,6/16/2024,Sports,Yeti Rambler Bottle,3,$49.99 ,Asia,Credit Card,C599109,25
10169,6/17/2024,Electronics,Samsung Odyssey G7 Gaming Monitor,1,$699.99 ,North America,Credit Card,C249877,66
10170,6/18/2024,Home Appliances,Instant Pot Duo Evo Plus,2,$139.99 ,Europe,PayPal,C200826,59
10171,6/19/2024,Clothing,Nike Tempo Running Shorts,3,$34.99 ,Asia,Debit Card,C263874,38
10172,6/20/2024,Books,The Girl with the Dragon Tattoo by Stieg Larsson,2,$9.99 ,North America,Credit Card,C663463,34
10173,6/21/2024,Beauty Products,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,1,$29.50 ,Europe,PayPal,C102685,26
10174,6/22/2024,Sports,Bowflex SelectTech 1090 Adjustable Dumbbells,1,$699.99 ,Asia,Credit Card,C244291,59
10175,6/23/2024,Electronics,Amazon Fire TV Stick 4K,3,$49.99 ,North America,Credit Card,C269623,53
10176,6/24/2024,Home Appliances,Crock-Pot 6-Quart Slow Cooker,2,$49.99 ,Europe,PayPal,C847171,23
10177,6/25/2024,Clothing,Uniqlo Airism Mesh Boxer Briefs,4,$14.90 ,Asia,Debit Card,C556552,23
10178,6/26/2024,Books,The Sun Also Rises by Ernest Hemingway,3,$11.99 ,North America,Credit Card,C876528,66
10179,6/27/2024,Beauty Products,First Aid Beauty Ultra Repair Cream,2,$34.00 ,Europe,PayPal,C617189,56
10180,6/28/2024,Sports,Oakley Holbrook Sunglasses,1,$146.00 ,Asia,Credit Card,C271029,38
10181,6/29/2024,Electronics,Google Pixelbook Go,1,$649.99 ,North America,Credit Card,C292356,28
10182,6/30/2024,Home Appliances,Dyson V8 Absolute,1,$399.99 ,Europe,PayPal,C329633,44
10183,7/1/2024,Clothing,Levi's 511 Slim Fit Jeans,3,$59.99 ,Asia,Debit Card,C244780,26
10184,7/2/2024,Books,The Martian by Andy Weir,2,$12.99 ,North America,Credit Card,C139568,41
10185,7/3/2024,Beauty Products,La Mer Crème de la Mer Moisturizer,1,$190.00 ,Europe,PayPal,C220281,50
10186,7/4/2024,Sports,Polar Vantage V2,1,$499.95 ,Asia,Credit Card,C311034,23
10187,7/5/2024,Electronics,Sonos Beam Soundbar,1,$399.00 ,North America,Credit Card,C584141,31
10188,7/6/2024,Home Appliances,Anova Precision Cooker,2,$199.00 ,Europe,PayPal,C221934,26
10189,7/7/2024,Clothing,Nike Dri-FIT Training Shorts,4,$34.99 ,Asia,Debit Card,C513561,56
10190,7/8/2024,Books,The Catcher in the Rye by J.D. Salinger,3,$10.99 ,North America,Credit Card,C257990,34
10191,7/9/2024,Beauty Products,Glossier Cloud Paint,1,$18.00 ,Europe,PayPal,C168348,29
10192,7/10/2024,Sports,TRX All-in-One Suspension Training System,1,$169.95 ,Asia,Credit Card,C161285,20
10193,7/11/2024,Electronics,Logitech G Pro X Wireless Gaming Headset,1,$199.99 ,North America,Credit Card,C166191,54
10194,7/12/2024,Home Appliances,Breville Smart Coffee Grinder Pro,1,$199.95 ,Europe,PayPal,C172966,40
10195,7/13/2024,Clothing,Adidas Ultraboost Running Shoes,2,$179.99 ,Asia,Debit Card,C320928,40
10196,7/14/2024,Books,The Road by Cormac McCarthy,2,$11.99 ,North America,Credit Card,C131497,21
10197,7/15/2024,Beauty Products,Tom Ford Black Orchid Perfume,1,$125.00 ,Europe,PayPal,C526660,32
10198,7/16/2024,Sports,GoPro HERO9 Black,1,$449.99 ,Asia,Credit Card,C139568,47
10199,7/17/2024,Electronics,Apple TV 4K,2,$179.00 ,North America,Credit Card,C220281,41
10200,7/18/2024,Home Appliances,Instant Pot Duo Nova,1,$99.95 ,Europe,PayPal,C311034,33
10201,7/19/2024,Clothing,Gap 1969 Original Fit Jeans,3,$59.99 ,Asia,Debit Card,C584141,67
10202,7/20/2024,Books,The Goldfinch by Donna Tartt,2,$14.99 ,North America,Credit Card,C221934,37
10203,7/21/2024,Beauty Products,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,1,$52.00 ,Europe,PayPal,C513561,38
10204,7/22/2024,Sports,Yeti Tundra Haul Portable Wheeled Cooler,1,$399.99 ,Asia,Credit Card,C257990,28
10205,7/23/2024,Electronics,Samsung Galaxy Watch 4,1,$299.99 ,North America,Credit Card,C168348,38
10206,7/24/2024,Home Appliances,KitchenAid Stand Mixer,1,$379.99 ,Europe,PayPal,C161285,56
10207,7/25/2024,Clothing,Lululemon Wunder Under High-Rise Leggings,2,$98.00 ,Asia,Debit Card,C287409,25
10208,7/26/2024,Books,The Great Alone by Kristin Hannah,3,$16.99 ,North America,Credit Card,C993675,66
10209,7/27/2024,Beauty Products,Caudalie Vinoperfect Radiance Serum,1,$79.00 ,Europe,PayPal,C307535,37
10210,7/28/2024,Sports,Bose SoundLink Color Bluetooth Speaker II,1,$129.00 ,Asia,Credit Card,C238961,19
10211,7/29/2024,Electronics,Canon EOS Rebel T7i DSLR Camera,1,$749.99 ,North America,Credit Card,C671866,53
10212,7/30/2024,Home Appliances,Keurig K-Elite Coffee Maker,2,$169.99 ,Europe,PayPal,C171154,69
10213,7/31/2024,Clothing,Uniqlo Airism Seamless Boxer Briefs,4,$9.90 ,Asia,Debit Card,C848969,69
10214,8/1/2024,Books,The Girl with the Dragon Tattoo by Stieg Larsson,3,$10.99 ,North America,Credit Card,C240171,31
10215,8/2/2024,Beauty Products,L'Occitane Shea Butter Hand Cream,2,$29.00 ,Europe,PayPal,C665777,39
10216,8/3/2024,Sports,YETI Tundra 65 Cooler,1,$349.99 ,Asia,Credit Card,C256730,53
10217,8/4/2024,Electronics,Apple MacBook Pro 16-inch,1,"$2,399.00 ",North America,Credit Card,C298229,26
10218,8/5/2024,Home Appliances,iRobot Braava Jet M6,1,$449.99 ,Europe,PayPal,C183404,63
10219,8/6/2024,Clothing,Champion Reverse Weave Hoodie,3,$49.99 ,Asia,Debit Card,C316398,34
10220,8/7/2024,Books,The Nightingale by Kristin Hannah,2,$12.99 ,North America,Credit Card,C557245,25
10221,8/8/2024,Beauty Products,Tarte Shape Tape Concealer,1,$27.00 ,Europe,PayPal,C662958,20
10222,8/9/2024,Sports,Garmin Forerunner 945,1,$599.99 ,Asia,Credit Card,C545065,18
10223,8/10/2024,Electronics,Amazon Echo Dot (4th Gen),4,$49.99 ,North America,Credit Card,C284679,53
10224,8/11/2024,Home Appliances,Philips Sonicare DiamondClean Toothbrush,2,$229.99 ,Europe,PayPal,C581947,46
10225,8/12/2024,Clothing,Old Navy Mid-Rise Rockstar Super Skinny Jeans,2,$44.99 ,Asia,Debit Card,C199311,34
10226,8/13/2024,Books,The Silent Patient by Alex Michaelides,3,$26.99 ,North America,Credit Card,C171154,61
10227,8/14/2024,Beauty Products,The Ordinary Caffeine Solution 5% + EGCG,1,$6.70 ,Europe,PayPal,C848969,38
10228,8/15/2024,Sports,Fitbit Luxe,2,$149.95 ,Asia,Credit Card,C240171,67
10229,8/16/2024,Electronics,Google Nest Wifi Router,1,$169.00 ,North America,Credit Card,C665777,33
10230,8/17/2024,Home Appliances,Anova Precision Oven,1,$599.00 ,Europe,PayPal,C256730,63
10231,8/18/2024,Clothing,Adidas Originals Trefoil Hoodie,4,$64.99 ,Asia,Debit Card,C298229,21
10232,8/19/2024,Books,Dune by Frank Herbert,2,$9.99 ,North America,Credit Card,C183404,41
10233,8/20/2024,Beauty Products,Fresh Sugar Lip Treatment,1,$24.00 ,Europe,PayPal,C316398,48
10234,8/21/2024,Sports,Hydro Flask Standard Mouth Water Bottle,3,$32.95 ,Asia,Credit Card,C372643,27
10235,8/22/2024,Electronics,Bose QuietComfort 35 II Wireless Headphones,1,$299.00 ,North America,Credit Card,C171154,22
10236,8/23/2024,Home Appliances,Nespresso Vertuo Next Coffee and Espresso Maker,1,$159.99 ,Europe,PayPal,C848969,54
10237,8/24/2024,Clothing,Nike Air Force 1 Sneakers,3,$90.00 ,Asia,Debit Card,C240171,51
10238,8/25/2024,Books,The Handmaid's Tale by Margaret Atwood,3,$10.99 ,North America,Credit Card,C665777,29
10239,8/26/2024,Beauty Products,Sunday Riley Luna Sleeping Night Oil,1,$55.00 ,Europe,PayPal,C256730,44
10240,8/27/2024,Sports,Yeti Rambler 20 oz Tumbler,2,$29.99 ,Asia,Credit Card,C252021,20
